Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean air temperature for England SE and Central S
Areal series, starting in 1884
Last updated 01-Apr-2023 10:45
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1897    1.6    5.8    6.8    7.5   10.3   15.4   16.9   16.4   12.5   10.4    7.1    4.8    3.64    8.23   16.27   10.02    9.66
1898    5.9    4.7    4.3    8.1   10.9   13.6   15.9   17.0   15.7   11.6    7.5    7.0    5.16    7.77   15.54   11.61   10.23
1899    5.4    5.4    4.9    8.1   10.3   15.5   18.0   18.5   14.2    9.7    8.4    2.4    5.93    7.77   17.35   10.72   10.07
1900    4.2    3.1    3.8    8.2   10.5   14.5   18.1   15.8   14.0   10.0    7.4    6.8    3.23    7.47   16.16   10.44    9.73
1901    3.3    1.7    4.1    8.4   11.2   14.1   17.6   16.2   14.1    9.8    4.6    3.4    4.00    7.90   15.98    9.49    9.08
1902    4.7    1.5    6.8    7.6    9.0   13.6   15.3   15.0   13.2    9.4    6.7    4.3    3.26    7.80   14.66    9.75    8.97
1903    4.3    6.6    7.3    6.5   11.3   12.8   15.6   14.7   13.5   11.0    6.4    3.3    5.02    8.39   14.40   10.34    9.48
1904    3.5    3.7    4.4    8.9   11.2   13.6   17.4   15.7   12.6   10.0    5.2    4.7    3.52    8.17   15.59    9.28    9.27
1905    3.1    5.2    6.9    7.7   11.1   14.8   17.8   15.2   12.8    7.1    4.9    4.4    4.29    8.56   15.97    8.25    9.27
1906    5.2    3.2    4.9    7.1   10.8   13.7   16.1   17.1   14.3   11.5    7.4    2.7    4.31    7.62   15.66   11.06    9.54
1907    3.1    2.4    6.2    7.6   10.9   12.9   14.4   14.9   14.1   10.3    6.9    5.1    2.74    8.24   14.07   10.46    9.11
1908    2.1    4.8    4.2    6.2   12.3   14.7   16.2   15.1   12.8   11.8    7.4    4.0    3.98    7.59   15.31   10.71    9.32
1909    3.1    2.3    3.4    8.7   10.8   12.1   15.0   16.1   12.4   10.8    4.7    3.9    3.18    7.64   14.41    9.33    8.66
1910    3.7    5.0    5.8    7.5   11.4   14.9   14.4   15.4   13.0   11.2    3.6    6.3    4.18    8.25   14.87    9.28    9.38
1911    3.0    4.3    5.3    7.2   12.8   14.7   18.6   18.9   15.0    9.9    6.1    6.4    4.55    8.43   17.45   10.31   10.22
1912    4.0    5.5    7.5    8.9   12.5   14.0   16.6   13.3   11.3    8.3    6.0    6.9    5.30    9.63   14.65    8.53    9.59
1913    5.0    4.6    6.6    8.0   11.9   14.2   14.8   15.5   14.3   11.6    8.3    4.8    5.52    8.82   14.87   11.41   10.00
1914    2.6    6.3    6.3    9.7   11.2   14.7   16.1   16.5   13.7   10.4    6.8    5.2    4.53    9.04   15.78   10.31    9.97
1915    3.8    4.3    5.0    7.6   11.5   14.3   15.0   15.8   13.5    9.4    3.4    6.0    4.42    8.06   15.04    8.78    9.17
1916    7.1    3.8    3.9    8.5   12.1   11.8   15.3   16.8   13.3   11.3    6.4    2.3    5.68    8.17   14.63   10.33    9.39
1917    1.2    1.1    3.2    5.4   13.1   15.8   15.9   15.5   14.3    8.1    7.7    1.8    1.54    7.27   15.75   10.00    8.63
1918    3.5    5.8    5.9    6.8   13.0   13.3   15.8   16.1   12.9    9.4    6.0    7.2    3.66    8.58   15.10    9.42    9.67
1919    2.9    2.0    4.3    7.0   13.0   14.2   14.0   16.7   13.5    7.3    3.3    5.5    4.10    8.11   14.98    8.03    8.69
1920    5.0    5.9    7.4    8.7   12.2   14.6   14.5   13.8   13.4   11.0    6.4    4.3    5.46    9.44   14.28   10.29    9.78
1921    7.1    4.6    7.3    8.6   11.8   14.9   18.6   16.1   14.8   13.2    4.9    6.1    5.39    9.24   16.57   11.02   10.73
1922    4.1    4.8    5.0    6.0   12.9   14.3   14.1   14.0   12.5    8.3    5.3    5.5    5.01    8.00   14.15    8.67    8.93
1923    4.7    6.1    6.7    8.0   10.1   12.7   17.9   15.9   12.9   10.3    3.2    3.7    5.40    8.25   15.51    8.80    9.36
1924    4.7    2.7    4.6    7.3   11.9   14.2   15.4   14.4   13.7   10.6    7.1    6.2    3.72    7.94   14.68   10.47    9.43
1925    5.3    5.3    4.8    7.4   11.6   15.2   16.9   15.7   11.8   10.9    4.3    3.2    5.63    7.95   15.95    9.03    9.40
1926    4.2    7.0    6.5    9.0   10.5   13.5   16.8   16.6   15.3    8.5    6.7    3.7    4.74    8.65   15.67   10.17    9.88
1927    4.4    4.0    7.3    8.3   11.9   13.1   15.7   15.8   12.9   10.5    6.0    2.1    4.06    9.19   14.87    9.80    9.37
1928    5.0    5.9    6.4    8.2   11.0   13.4   17.2   15.8   13.2   10.6    8.0    3.4    4.31    8.51   15.46   10.62    9.84
1929    1.2   -0.0    6.1    6.5   11.2   13.5   16.4   15.9   16.7    9.9    7.0    6.0    1.57    7.96   15.27   11.17    9.25
1930    6.1    3.0    5.5    8.3   11.0   15.5   15.6   16.3   14.0   10.9    6.8    4.4    5.08    8.27   15.79   10.55    9.81
1931    3.3    3.8    4.4    7.8   11.3   14.7   15.3   15.0   11.6    9.2    7.8    5.1    3.84    7.82   15.01    9.54    9.14
1932    6.0    2.6    4.5    7.1   10.4   14.0   16.0   18.0   13.7    9.2    6.6    5.3    4.61    7.32   16.02    9.82    9.47
1933    2.3    4.1    7.4    8.8   12.2   15.4   17.9   18.0   15.4   10.3    5.5    0.8    3.88    9.48   17.12   10.42    9.88
1934    3.7    3.0    5.1    8.3   11.7   15.3   18.1   15.5   14.9   10.7    6.1    8.1    2.48    8.35   16.34   10.56   10.08
1935    4.4    5.6    6.2    8.1   10.3   15.0   17.8   16.8   14.2    9.9    7.0    3.5    6.03    8.20   16.55   10.33    9.91
1936    4.6    2.8    6.9    6.4   11.8   15.0   15.3   16.3   14.6    9.1    5.7    5.0    3.65    8.41   15.53    9.79    9.49
1937    5.3    6.0    4.0    9.3   12.3   14.5   16.2   17.4   13.7   10.9    5.2    3.1    5.41    8.49   16.06    9.92    9.84
1938    5.7    4.5    8.8    7.3   10.3   14.7   15.3   16.5   14.1   10.3    9.3    3.9    4.44    8.83   15.53   11.23   10.10
1939    4.8    5.4    5.8    8.7   11.2   14.4   15.3   16.5   14.7    8.7    8.8    2.7    4.68    8.55   15.43   10.70    9.76
1940   -1.1    2.8    5.9    8.7   12.6   16.4   15.2   16.0   13.4    9.8    7.0    3.5    1.42    9.10   15.88   10.07    9.20
1941    0.9    3.7    5.4    6.7    9.0   15.1   17.6   14.9   14.5   10.4    6.6    5.0    2.64    7.04   15.85   10.49    9.17
1942    0.6   -0.1    5.2    9.2   11.1   14.6   15.7   16.5   14.2   11.1    5.0    6.4    1.93    8.48   15.63   10.12    9.19
1943    5.2    5.4    6.7   10.8   12.4   14.5   16.5   16.4   13.4   11.2    6.0    3.7    5.70    9.95   15.81   10.21   10.21
1944    5.9    3.1    4.8    9.9   11.4   13.8   16.4   17.7   12.8    9.4    6.4    3.5    4.22    8.68   16.00    9.53    9.61
1945    0.2    6.9    7.6   10.2   12.6   14.6   16.7   16.1   14.5   11.9    7.2    5.1    3.45   10.15   15.78   11.21   10.31
1946    2.8    6.0    5.0    9.7   10.7   13.1   16.3   14.9   14.1   10.2    8.0    2.7    4.59    8.44   14.82   10.75    9.47
1947    1.8   -1.7    4.3    8.6   13.1   15.7   17.4   19.1   15.4   10.5    7.3    5.0    1.02    8.69   17.43   11.10    9.80
1948    5.7    4.5    8.1    9.2   11.8   14.1   15.8   15.3   14.2   10.1    7.5    5.9    5.09    9.72   15.10   10.58   10.20
1949    5.3    5.4    5.0   10.1   10.9   14.9   17.8   17.3   16.9   12.4    6.6    5.9    5.54    8.65   16.68   11.97   10.73
1950    4.1    6.0    7.6    8.0   11.5   16.4   16.3   16.1   13.4    9.9    6.3    1.2    5.29    9.04   16.23    9.86    9.73
1951    4.3    4.0    4.7    7.1   10.3   14.0   16.7   15.2   14.5    9.7    8.6    5.9    3.12    7.38   15.29   10.92    9.61
1952    3.1    3.1    6.6    9.6   13.2   14.8   17.1   16.5   11.4    9.4    4.1    3.1    4.07    9.82   16.16    8.28    9.36
1953    2.8    3.7    5.4    8.0   12.6   14.4   15.6   16.5   13.9   10.5    8.3    7.2    3.16    8.70   15.49   10.90    9.94
1954    2.6    2.8    6.3    7.2   11.3   13.6   14.5   14.9   13.2   12.2    7.4    6.6    4.22    8.30   14.33   10.96    9.43
1955    2.7    1.8    3.2    8.9   10.0   14.2   17.4   17.9   14.2    9.2    7.0    6.0    3.77    7.36   16.54   10.12    9.42
1956    4.0   -1.0    6.1    6.7   11.9   13.3   16.0   14.1   14.7    9.6    5.7    5.8    3.06    8.25   14.48   10.00    8.95
1957    5.3    5.7    9.1    8.9   10.5   15.6   17.1   15.9   13.2   11.2    6.2    4.3    5.61    9.52   16.19   10.22   10.28
1958    3.6    5.3    4.0    7.2   11.4   13.9   16.1   16.0   15.3   11.2    6.6    5.1    4.38    7.52   15.32   11.00    9.65
1959    2.2    3.7    7.3    9.5   12.3   15.2   17.6   17.6   15.7   12.4    7.1    6.0    3.67    9.73   16.78   11.72   10.59
1960    3.9    4.2    6.5    8.8   12.6   15.6   15.3   15.1   13.4   10.6    7.7    4.2    4.73    9.28   15.35   10.54    9.83
1961    3.9    7.0    7.8   10.2   11.1   14.7   15.8   16.0   15.5   11.2    6.2    3.1    4.95    9.71   15.55   10.97   10.23
1962    4.4    4.0    2.8    7.7    9.9   13.4   15.1   14.9   12.8   10.6    5.6    1.9    3.83    6.80   14.49    9.70    8.62
1963   -2.7   -0.9    5.7    8.4   10.4   14.6   15.2   14.7   13.3   10.8    8.5    2.1   -0.57    8.19   14.83   10.88    8.39
1964    2.8    4.2    4.4    8.3   13.1   14.1   16.6   16.1   14.7    8.7    7.6    3.5    3.01    8.58   15.62   10.32    9.52
1965    3.5    2.7    5.5    8.1   11.5   13.9   14.4   15.3   12.3   11.1    4.9    4.9    3.23    8.36   14.55    9.49    9.06
1966    2.6    6.3    6.4    8.1   11.1   15.5   15.2   15.1   14.2   10.9    5.4    5.5    4.56    8.53   15.25   10.19    9.71
1967    4.2    5.4    7.2    7.8   10.9   14.1   17.1   15.9   14.0   11.3    5.6    3.9    5.03    8.62   15.74   10.29    9.81
1968    3.9    2.2    6.4    7.9   10.1   14.7   15.3   15.7   14.2   12.8    6.6    2.8    3.37    8.17   15.27   11.20    9.42
1969    5.7    1.4    4.2    7.8   11.5   14.0   17.3   16.5   14.4   12.9    5.9    3.2    3.38    7.83   15.95   11.09    9.62
1970    4.1    3.3    3.8    6.7   12.7   16.3   15.5   16.1   14.7   10.9    8.2    3.8    3.56    7.72   15.95   11.28    9.71
1971    4.6    4.4    4.9    7.6   11.7   13.0   17.2   16.2   14.2   11.6    5.9    6.2    4.26    8.06   15.48   10.59    9.83
1972    3.8    4.7    7.0    8.5   10.6   11.8   15.9   15.5   12.1   10.7    6.2    5.9    4.90    8.68   14.41    9.68    9.40
1973    4.3    4.0    5.9    7.3   11.5   15.0   15.9   17.4   14.8    9.3    6.2    5.1    4.77    8.23   16.10   10.10    9.75
1974    6.2    5.5    5.8    8.4   10.9   14.1   15.4   15.5   12.4    7.4    7.3    7.7    5.57    8.38   14.98    9.04    9.74
1975    6.8    4.9    5.0    8.1   10.0   14.7   17.3   18.5   13.8   10.0    6.2    4.1    6.54    7.69   16.84    9.99    9.98
1976    5.4    4.2    4.8    7.9   12.4   17.4   18.8   17.6   13.8   11.1    6.3    2.3    4.58    8.39   17.98   10.40   10.20
1977    3.1    5.8    7.2    7.2   10.7   12.4   16.1   15.4   13.2   11.9    6.7    6.2    3.68    8.37   14.65   10.62    9.69
1978    3.3    2.7    6.6    6.5   11.4   13.9   15.2   15.2   14.2   11.7    8.5    4.9    4.12    8.20   14.78   11.45    9.55
1979    0.1    1.4    4.9    7.9   10.2   13.9   16.6   15.0   13.4   11.6    6.7    6.0    2.17    7.67   15.16   10.59    9.03
1980    2.3    5.9    5.0    8.7   11.1   14.0   14.8   16.3   15.0    9.3    6.1    5.2    4.72    8.28   15.05   10.11    9.48
1981    4.6    2.9    8.2    8.0   11.3   13.3   16.0   16.8   14.6    8.7    7.6    1.3    4.27    9.16   15.38   10.27    9.47
1982    3.3    4.7    6.0    8.5   11.8   15.9   16.9   16.3   14.9   10.3    8.4    4.6    3.06    8.77   16.39   11.19   10.16
1983    6.6    2.0    6.2    7.2   10.5   14.9   19.9   17.8   14.2   10.7    7.6    5.7    4.48    7.96   17.55   10.79   10.32
1984    4.3    3.8    4.9    8.0    9.9   14.8   16.7   17.6   13.9   11.3    8.7    5.4    4.63    7.58   16.37   11.30    9.96
1985    0.4    2.2    4.6    8.6   11.2   13.2   16.5   15.0   14.6   11.2    4.2    6.9    2.67    8.16   14.93   10.02    9.10
1986    3.7   -1.2    4.9    6.1   10.9   15.1   16.5   14.4   11.6   11.5    8.0    6.0    3.28    7.29   15.32   10.37    9.02
1987    0.6    3.7    4.2   10.0   10.5   13.5   16.3   16.1   14.4   10.6    6.6    5.7    3.41    8.24   15.31   10.53    9.37
1988    5.6    4.8    6.7    8.2   12.3   14.3   15.0   15.6   13.8   11.3    5.6    7.1    5.37    9.10   14.98   10.25   10.06
1989    6.0    6.0    8.0    6.9   13.7   15.0   18.7   17.2   15.4   12.3    6.6    5.8    6.39    9.57   16.99   11.46   11.01
1990    6.8    7.8    8.3    8.3   13.0   13.7   17.1   18.5   13.6   12.3    7.1    4.4    6.78    9.87   16.48   11.00   10.93
1991    4.0    1.3    8.0    8.0   10.7   12.4   17.1   17.6   15.2   10.2    6.8    4.5    3.31    8.88   15.77   10.70    9.71
1992    3.7    5.1    7.5    8.7   13.8   15.6   16.9   16.3   13.9    8.2    7.9    4.1    4.44   10.02   16.27    9.97   10.15
1993    6.3    4.3    6.5    9.7   12.2   15.4   15.8   15.3   12.6    9.1    4.9    5.9    4.89    9.44   15.49    8.89    9.86
1994    5.5    3.8    7.9    8.2   11.1   14.7   18.6   16.9   13.3   10.5   10.4    6.7    5.11    9.06   16.77   11.38   10.68
1995    5.0    7.0    5.9    9.3   12.0   14.5   18.9   19.6   13.9   13.3    7.9    2.8    6.21    9.06   17.69   11.70   10.86
1996    4.6    2.6    4.6    8.6    9.3   14.7   16.8   16.7   13.7   11.7    6.0    3.2    3.35    7.52   16.07   10.46    9.40
1997    1.9    6.5    8.4    8.9   11.9   14.7   16.9   19.4   14.7   10.8    8.6    6.0    3.77    9.74   17.04   11.37   10.76
1998    5.4    6.6    8.1    8.2   13.7   14.6   15.9   16.5   15.3   10.9    6.1    5.9    6.00   10.04   15.70   10.75   10.64
1999    6.0    5.1    7.5    9.5   13.3   14.2   18.1   16.9   16.1   10.9    7.7    4.9    5.71   10.10   16.43   11.56   10.89
2000    4.6    6.4    7.6    8.1   12.7   15.3   15.7   17.2   15.2   10.8    7.2    6.1    5.30    9.47   16.06   11.10   10.60
2001    3.8    5.1    6.0    8.2   12.7   14.7   17.6   17.4   13.7   13.8    7.2    3.6    5.00    8.95   16.56   11.59   10.34
2002    5.8    7.4    7.9    9.6   12.1   14.5   16.4   17.4   14.6   10.8    9.2    6.3    5.55    9.87   16.14   11.54   11.03
2003    4.4    4.2    7.9    9.6   12.1   16.3   17.9   19.2   14.7    9.5    8.7    5.4    5.03    9.85   17.79   10.93   10.85
2004    5.4    5.4    6.5    9.4   12.4   15.8   16.5   18.0   15.4   11.2    7.8    5.2    5.40    9.43   16.77   11.47   10.76
2005    6.0    4.2    7.0    9.3   11.7   15.9   17.3   16.6   15.7   13.6    6.3    4.2    5.14    9.32   16.61   11.89   10.69
2006    4.4    3.7    5.2    9.0   12.6   16.2   20.2   16.9   17.3   13.7    8.5    6.7    4.12    8.93   17.77   13.18   11.24
2007    7.1    6.4    7.5   11.8   12.7   15.7   16.0   16.0   14.4   11.0    7.4    5.2    6.75   10.67   15.90   10.92   10.96
2008    6.8    5.6    6.6    8.5   14.0   14.9   16.7   16.6   13.7   10.1    7.5    3.8    5.89    9.72   16.11   10.42   10.42
2009    2.9    4.3    7.2   10.3   12.6   15.4   16.8   17.3   14.9   11.9    9.3    3.6    3.63   10.01   16.50   12.03   10.56
2010    1.4    3.5    6.3    9.1   11.0   15.7   18.1   16.1   14.0   10.8    5.9    0.2    2.81    8.78   16.63   10.24    9.37
2011    4.3    6.4    6.9   12.4   12.7   14.5   15.6   16.2   15.6   12.9   10.0    6.3    3.58   10.65   15.43   12.84   11.17
2012    6.0    3.7    8.4    7.8   12.6   14.2   15.9   17.2   13.7   10.4    7.1    5.3    5.40    9.62   15.81   10.37   10.23
2013    3.9    3.1    3.4    7.6   10.7   14.2   18.7   17.5   14.3   12.8    6.7    6.3    4.15    7.21   16.83   11.29    9.98
2014    6.2    6.7    8.1   10.5   12.5   15.7   18.5   15.8   15.8   13.2    9.0    5.5    6.38   10.37   16.70   12.68   11.49
2015    4.9    4.1    6.9    9.6   11.7   14.9   16.8   16.5   13.1   11.3   10.0   10.5    4.84    9.39   16.12   11.49   10.92
2016    5.7    5.4    6.1    8.1   13.0   15.4   17.5   17.8   16.7   11.1    6.4    6.1    7.23    9.06   16.91   11.40   10.79
2017    3.7    6.4    9.2    9.4   13.5   16.9   17.7   16.4   14.0   12.6    7.0    5.2    5.34   10.72   17.01   11.21   11.02
2018    6.0    2.9    5.4   10.5   13.7   16.6   19.9   17.5   14.3   11.2    8.4    7.2    4.74    9.86   18.00   11.30   11.18
2019    3.8    6.6    8.4    9.5   11.8   15.2   18.2   17.5   15.0   11.1    6.7    6.3    5.84    9.89   17.00   10.92   10.86
2020    6.5    7.0    7.0   10.9   13.1   15.8   16.8   18.8   15.0   11.1    9.1    5.5    6.58   10.34   17.14   11.74   11.40
2021    3.7    5.3    7.1    6.6   10.6   16.1   17.9   16.3   16.3   12.4    7.3    7.1    4.83    8.12   16.77   12.00   10.59
2022    4.8    7.1    8.1    9.4   13.3   15.5   19.0   19.5   14.9   13.6    9.8    4.1    6.29   10.28   18.03   12.75   11.61
2023    5.2    6.1    7.3                                                                   5.09                                
